account,n_trades,total_pnl,win_rate,pnl_std,avg_size,total_fee,net_pnl,sharpe_proxy,freq_seg,consistency
0x083384f897ee0f19899168e3b1bec365f52a9012,1732,1600229.819979,0.7927251732101617,6934.502297410751,17435.058810623555,3644.3420770000002,1596585.4779019998,230.76347102462898,Moderate,Consistent Winner
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,4166,47885.320514,0.7736437830052808,177.0843329647407,1454.1281349015842,1669.854425,46215.466089,270.4096952679831,Frequent,Consistent Winner
0x271b280974205ca63b716753467d5a371de622ab,1607,-70436.191318,0.7156191661481021,834.2089203106481,10563.420199128812,4957.144062,-75393.33538,-84.4347136586433,Moderate,Consistent Winner
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,6772,132464.814554,0.8620791494388659,158.21599587517446,507.39010336680445,1100.977949,131363.83660500002,837.2403423587572,Frequent,Consistent Winner
0x2c229d22b100a7beb69122eed721cee9b24011dd,2060,168658.004994,0.8174757281553398,316.99169302712363,2508.635145631068,1393.865056,167264.13993799998,532.0581223528674,Moderate,Consistent Winner
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,570,-31203.599986,0.6508771929824562,667.6621913263118,1436.7391052631579,75.100049,-31278.700035,-46.73561030012389,Infrequent,Consistent Winner
0x39cef799f8b69da1995852eea189df24eb5cae3c,1767,14456.919335999997,0.66553480475382,1041.2178206116678,4857.970447085455,781.347264,13675.572071999997,13.884625339483081,Moderate,Consistent Winner
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,158,53496.247243,1.0,1841.9998617422505,3175.453734177215,113.185385,53383.061858,29.04248168204078,Infrequent,Consistent Winner
0x420ab45e0bd8863569a5efbb9c05d91f40624641,90,199505.592732,1.0,4184.625739980541,5379.187777777778,98.27016499999999,199407.322567,47.675850871404336,Infrequent,Consistent Winner
0x430f09841d65beb3f27765503d0f850b8bce7713,599,416541.872341,1.0,2318.157272214664,2320.957696160267,252.723774,416289.148567,179.68663184913026,Infrequent,Consistent Winner
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,3663,103343.716161,0.822003822003822,132.96309930646186,586.8135844935846,592.66469,102751.051471,777.2360654893398,Frequent,Consistent Winner
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2233,677747.050643,0.948499776085983,1175.8462005174265,9011.692463054187,4456.5837,673290.4669430001,576.3909007353034,Moderate,Consistent Winner
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2949,308975.869716,0.9267548321464903,1050.0303413479937,21982.652390640895,20330.235968,288645.63374799996,294.2542301387719,Frequent,Consistent Winner
0x513b8629fe877bb581bf244e326a047b249c4ff1,5482,840422.555216,0.8954761036118205,948.4990800899399,38102.69430499818,37357.947278,803064.607938,886.0552138178375,Frequent,Consistent Winner
0x6d6a4b953f202f8df5bed40692e7fd865318264a,426,108731.216772,0.9882629107981221,683.6092214827381,802.4808920187793,106.637139,108624.579633,159.05463729117722,Infrequent,Consistent Winner
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,737,429355.565915,0.746268656716418,3685.7923586769916,7520.085291723202,617.528138,428738.037777,116.48935266364269,Infrequent,Consistent Winner
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,564,403011.504159,0.776595744680851,2473.7294561523063,2261.909875886525,122.468413,402889.035746,162.9165643625759,Infrequent,Consistent Winner
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8660,379095.406711,0.9263279445727483,183.74635563382813,1497.0306478060047,1734.660925,377360.74578600004,2063.145173145108,Frequent,Consistent Winner
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,746,14900.443047,0.9450402144772118,103.93508281677158,3914.1682707774803,315.243173,14585.199874,143.3629785346379,Moderate,Consistent Winner
0x8170715b3b381dffb7062c0298972d4727a0a63b,2341,-167621.124781,0.7522426313541222,2309.76302896952,2294.7622768047845,1059.884681,-168681.009462,-72.57070213636162,Moderate,Consistent Winner
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,714,65513.657906,0.8837535014005602,528.19207304241,8311.295182072829,1781.288596,63732.36931,124.0337771987269,Infrequent,Consistent Winner
0x8477e447846c758f5a675856001ea72298fd9cb5,6559,43917.008976,0.5990242415002287,103.63672303701841,936.3677953956396,1661.921381,42255.087595,423.75914336744654,Frequent,Consistent Winner
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,892,126578.942134,0.976457399103139,389.9365066746416,3617.8456165919283,1129.491017,125449.451117,324.614238387511,Moderate,Consistent Winner
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,5561,106302.875256,0.9703290775040461,113.27716352428084,1859.2180812803454,1492.30284,104810.572416,938.4316480724348,Frequent,Consistent Winner
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,255,72846.484272,0.9372549019607843,1236.3314000609369,1207.4349411764704,88.462692,72758.02158,58.921486802285045,Infrequent,Consistent Winner
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,230,67845.619531,1.0,708.225132621893,2851.7160869565214,225.032094,67620.58743700001,95.7966844239706,Infrequent,Consistent Winner
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,230,21758.831753,0.7478260869565218,433.92708697724953,9860.942304347825,359.593682,21399.238071,50.14398134147974,Infrequent,Consistent Winner
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6279,2143382.597689,0.7910495301799649,2088.8751659825784,4492.344177416786,7048.225956,2136334.371733,1026.0941546881552,Frequent,Consistent Winner
0xb899e522b5715391ae1d4f137653e7906c5e2115,2641,22488.500821,0.8034835289663006,449.46704170155397,20609.031442635365,13765.16295,8723.337871000002,50.033703774619205,Moderate,Consistent Winner
0xbaaaf6571ab7d571043ff1e313a9609a10637864,9997,940163.80622,0.9911973592077623,823.8338649350309,3480.638275482645,5415.250686,934748.555534,1141.205583109893,Frequent,Consistent Winner
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1177,220519.061853,0.7349192863211554,2288.9328827375375,8702.076958368734,2408.166935,218110.894918,96.3414277089529,Moderate,Consistent Winner
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,22551,836080.553077,0.7630703738193428,351.72185168485123,1680.803564808656,8688.644738,827391.908339,2377.1072200079434,Frequent,Consistent Winner
